,comment
0,"Skip navigation
Sign in
Up next in 8
29:37
FULL PRE-SUPER BOWL GAGGLE: Trump Takes Question After Question From Reporters On Air Force One
Forbes Breaking News
2M views • 4 days ago
CANCEL
PLAY NOW
WATCH: Trump Says He'll Be Announce Steel Tariffs On Monday
Forbes Breaking News
4.37M subscribers
Subscribe
281
Share
Save
    
    
    
   
    
    
    
   49K views  4 days ago
In his gaggle on Air Force One, President Trump said that he'd announce steel tariffs.

Fuel your success with Forbes. Gain unlimited access to premium journalism, including breaking news, groundbreaking in-depth …
...more
EGO POWER+
Sponsored
egopowerplus.com
Shop now
Arlington 360 Luxury Apartments
Arlington 360 | Apartments in Arlington, MA
Sponsored
Arlington 360
Visit site
Trump talks with reporters in the Oval Office
The National Desk
691 watching
LIVE
3:33
JUST IN: President Trump Departs From JBA On Air Force One En Route To Palm Beach, Florida
Forbes Breaking News
2K views 15 minutes ago
New
3:25
BREAKING NEWS: VP JD Vance & Sec. Marco Rubio Meet With Ukraine's Zelensky At Munich Security Event
Forbes Breaking News
56K views 2 hours ago
New
5:47
'It makes my stomach churn': A steel community caught in tariff chaos
CBC News: The National
14K views 2 days ago
New
4:02
Video: Windy, brisk day before weekend storm
WCVB Channel 5 Boston
2.3K views 6 hours ago
New
9:51
‘Massacre’: Six DOJ officials resign in protest of ‘dangerous’ Trump abuse in widening scandal
MSNBC
396K views 19 hours ago
New
3:22
Trump Details Reciprocal Tariffs On India: ‘I Think It’s A Very Fair Way’ Of Doing Business
Forbes Breaking News
2.5K views 1 hour ago
New
33:26
Jon Stewart on U.S. Trade War & Desi on Trump's Gaza Plan & Elon's Gov't Purge | The Daily Show
The Daily Show
2M views 6 days ago
New
31:43
Trump takes questions on Russia-Ukraine peace talks in Oval Office
CBS News
116K views 1 day ago
New
3:22
US will suffer job losses with tariffs on Canadian steel, aluminum: Trudeau | ABS CBN News
ABS-CBN News
11K views 1 day ago
New
29:37
FULL PRE-SUPER BOWL GAGGLE: Trump Takes Question After Question From Reporters On Air Force One
Forbes Breaking News
2M views 4 days ago
New
3:03
India's Modi Asked: 'Did You Discuss Any Possible Business Deals With Elon Musk?'
Forbes Breaking News
1.2K views 23 minutes ago
New
7:31
WATCH: AG Brown speaks after judge blocks Trump order against gender-affirming care for youth
KOMO News
2.7K views 23 minutes ago
New
8:10
'How Can You Be This Stupid?': Rick Scott Calls Out Surprising USAID-Funded Programs
Forbes Breaking News
156K views 3 hours ago
New
2:09
Sask. steel company shifts priorities amid Trump tariff threats
CTV News
10K views 1 day ago
New
4:45
BREAKING NEWS: Agriculture Secretary Brooke Rollins Promises Announcement To Lower Egg Prices
Forbes Breaking News
3.9K views 1 hour ago
New
12:06
President Donald Trump Arrives in New Orleans to Attend Super Bowl
WWLTV
930K views 4 days ago
New
1:46
""Catastrophic"": Trump aluminum tariff a 'brewed awakening' for Canadian beer industry
Global News
19K views 16 hours ago
New
3:37
Trump: This Is Why Canadians Should Want U.S. To Absorb Canada
Forbes Breaking News
22K views 4 days ago
New
12:24
‘Irony died while he was talking’: Nicolle Wallace on Elon Musk’s takeover of Oval Office 
MSNBC
968K views 2 days ago
New
Show more
181 Comments
Sort by
Add a comment...
@Jorr235
4 days ago
Tariffs on Monday, Reverse tariffs on Tuesday.
28
Reply
1 reply
@Thekingmaker
4 days ago (edited)
He has absolutely no clue of what he is doing.
12
Reply
2 replies
@charleslanphier8094
4 days ago
He's so smart, he really knows how to create jobs. In other countries.
22
Reply
@Housee01
4 days ago
Mexico and canada already outsmarted him 
10
Reply
1 reply
@LuckyOwI777
4 days ago
This new headline shows what kind of people are supporting this country right now
12
Reply
1 reply
@charleslanphier8094
4 days ago
Here come all those high paying steel mill jobs, right ?
12
Reply
@ctbt1832
4 days ago
I thought he paused tariff for 30 days on Canada and Mexico
7
Reply
@Twil64
4 days ago
Hmmm
He’s upset because other countries are kicking our butts economically?
Sounds like we in the US need to do better.
6
Reply
@mattduncan2581
4 days ago
Glad I got out of sheet metal ac manufacturing and went back to plastic industry
8
Reply
@Charles-b6r7v
4 days ago
Ah, yes, more tariffs, just what we needed, to raise consumer prices even further.
11
Reply
5 replies
@Sarah-xr6et
4 days ago
Great, now I'm paying more for steel...smh
17
Reply
1 reply
@theluigimon
4 days ago
My coworkers are gonna be mad af xD
2
Reply
@chrissyp930
4 days ago
Whoever wrote the headline must be in about 5th grade 
12
Reply
2 replies
@Somejaun
4 days ago
Didn’t he try to do this in his last term and it cost like 50,000 jobs?
11
Reply
9 replies
@sparkles999rose2
4 days ago
Omg fire who wrote the title, I’ll do it.
15
Reply
5 replies
@alanurbina7057
4 days ago
On his last term, he applied tariffs to steel and it resulted in the lose of over seventy thousand jobs in america...
5
Reply
@mn8283-z5q
4 days ago
How do you like those’s grocery places under him along with every ekse that is going up
4
Reply
2 replies
@Benjamin-rq5dn
4 days ago
We estimate the likely impact on U.S. consumers and find that by the end of 2018, import tariffs were costing U.S. consumers and the firms that import foreign goods an additional $3 billion per month in added tax costs and another $1.4 billion per month in deadweight welfare (efficiency) losses.
3
Reply
@johndawson6629
4 days ago
Full of it . I wanna say worse but You Tube won’t let me.
11
Reply
1 reply
@SuccessMindset2180
4 days ago
Steel ownership is essential for railroad maintanence
Reply
@CAT-2323
4 days ago
He will be Announce. What a unique name change.
4
Reply
@dawnbrown3176
4 days ago
WOW great!..houses will cost more now. You need steel for foundation , house prices is already  astronomical 
2
Reply
@charblank
4 days ago
The steel mills in PA employed thousands of people and then it was over! Japan bought it out and nothing ever replaced it
Reply
@dixie6294
4 days ago
Is nippon steel( japan) taking over US steel? Two days after meeting with Japan the tarrifs...wonder if he got a kickback?
2
Reply
@SBG420
4 days ago
ok so what about all the lithium we need and other resources, everythings bouta double
2
Reply
@markhoward-v1u
4 days ago
no matter if he is inside a plane, the rebel CORN hair he has keep moving!
Reply
@Emroczart
4 days ago
Shame on the republicans for not nominating a competent candidate…trump was a disaster last time and even worse the 2nd time around so far
12
Reply
3 replies
@HenryGoldenII
4 days ago
The video is a lie he says Tuesday or Wednesday, not Monday
6
Reply
1 reply
@E_Clampus_Vitus
4 days ago (edited)
Trump has had some wild hair days but today is my favorite ever 🫡
1
Reply
1 reply
@americafirst9699
4 days ago
Youngstown Ohio back in the day was steel city USA
Reply
@rl332
4 days ago
Guess Trump doesn't remember doing 25% Tariffs on steel in 2018. The Result: Steel employment went up 0.3%. But, production fell on steel made products such a appliances and autos by -1.1% then retaliatory tariffs dropped manufacturing employment down to -1.4%
Reply
@Supercalifragilisticexpial-r2x
4 days ago
You put a tarrif on the final product not the raw material dumb trump. Now they will just manufacture the product outside the US and ship it in
3
Reply
@tonyz4706
4 days ago
Then everything made of metals in USA will become 25% more expensive: car, appliance, almost everything!
8
Reply
4 replies
@DCAllen-ht5ik
4 days ago
Forbes have made minimum of 2 spelling mistakes in english headlines in 1day.
Reply
@andresmarchena6362
4 days ago
Announcing**
1
Reply
@Louis-ed4ur
4 days ago
You never allow a foreign country own your steel industry. What would happen if we needed to inctease our produxion for weapons systems only to find out we sold it to our enemies
Reply
@maxstrongCW
4 days ago
Poor countries have to use tariffs
2
Reply
2 replies
@Devilman-l7s
4 days ago
And maybe they'll checking the quality of the junk coming from the PRC.
5
Reply
@Anireih
4 days ago
The People are Indivisible. 
#50501 coming again 2/17/25.

Wer'e just getting started.
3
Reply
@Mister75199
4 days ago
This is gonna backfire so bad, smh
Reply
@xtrafatmilk
4 days ago
He'll be announce. The announce will be such wow, so many announce. It will be definition of announce. No one announce before this seen announce, all of them, no one has seen such announce.
Reply
@jayalanlife5926
4 days ago
This is a slap in the face for Australia, it's time we woke up the failing US hegemony. Tarriffs on Australian steel and aluminium needs to be reciprocated by closing the US military base in Western Australia and realign with our trading partners
Reply
@GreaseMonkey-dq2dk
4 days ago
""Trump says he'll be announce steel tariffs on Monday."" Did a 7 yr old write that, or is that just a clue to the type of news we can expect here? 
1
Reply
@Drowningpooralice505
4 days ago
This is a good thing. Several countries have been taking liberties with scrap metal for decades.
Reply
@sandrahohl3721
4 days ago
when will food cost start to go down are we maken gas and oil now
5
Reply
2 replies
@wowster-so8sx
4 days ago
What about our great plastic mills
Reply
@salemdesigns65
4 days ago
Get 'um, Trump!!! 
You go, boy!!!
Reply
@charlenemocksing6909
4 days ago
Trump is doing an outstanding job!
Reply
@stevenrhodes8338
4 days ago
Yes charge the world a premium for the product we make. You're not gonna get better metals from anywhere else hands down.
Reply
1 reply
@CraigCharley
4 days ago
Carbon fiber is the best industry to invest in America,  European Union,  China and India.
1
Reply
@thomaswaite1865
4 days ago
It’s obvious he’s trying to bring it back to the US. I’m gonna give it time. Along with some of the new drilling to begin. And see where we’re at then. It’s either gonna suck or potentially work.
2
Reply
@coletteday712
4 days ago
Don’t go to Forbes for grammar 
1
Reply
@joedoe6444
4 days ago
years ago while in the Marines we would go to Norway and train every few winters. a lot of the Marines would take several extra pairs of Levi's or wrangler jeans that cost 20-25 dollars with them, and you could sell them for 80-100 dollars each with no problems. the reason for that is because Norway had such huge tariffs on everything American made and for the Norwegians to buy these same jeans in their stores it would cost them over 120 dollars a pair. other countries around the world have had huge tariffs on American goods for decades while we had little to none on their products coming into our country. it is only fair that we hang the same tariffs on other countries that they impose on us.
Read more
2
Reply
3 replies
@markpirmann2567
4 days ago
All part of what he said he would do and what the people voted for. 
DEAL WITH IT !
Reply
2 replies
@antihero5203
4 days ago
How about some egg tariffs bro?
2
Reply
@zirzmokealot4600
4 days ago
Him be announce day of when him can. Proof read!!!!
Reply
@Dave-jt3lp
4 days ago
Why don't Trumpy buy it?He is the greatest,bestest,smartest
Reply
1 reply
@RichardKing-sx6xc
4 days ago
LMFAO!!! 
Reply
@hectorrivers8762
4 days ago
Good trump - you can apply any kind of tariff on to any country specialty on to MÉXICO 🇲🇽 anyways your shooting on your fit - .
2
Reply
@jasonruetz2306
4 days ago
When you announce your plans on Sunday that you will announce those plans on monday: you are too old and can't grasp simple concepts. But that's how this country likes it. 🇺🇸
Reply
@antoniobonilla44
4 days ago
Inflation going up !!!!!!!!
Reply
@lm2174
4 days ago
Dei wrote title
Reply
@Astrohari-z8l
4 days ago
Trump planings gold diamonds brightness plannings
Reply
@richyp64
4 days ago
This will make the blue haired democrats furious. 
21
Reply
9 replies
@Losavelli
4 days ago
Damn he’s looking old! I know he’s old but he’s really showing it. Can he make it for four more years? He’s old
2
Reply
1 reply
@makno5625
4 days ago
Happy Gulf of America Day Everyone!!!!!!!!
2
Reply
1 reply
@UfaKefe-w8q
4 days ago
1
Reply
@EMC726
4 days ago
Bravo President Trump!
Reply
@SpaceCowboy-u7j
4 days ago
Thank God for President Trump. ️🇺🇸
Reply
@diannethomas7057
4 days ago
Just a no nonsense, commonsense Super President. 
5
Reply
1 reply
@SajinKomamura-cp2zu
4 days ago
Will this one last more than 1 hour or will chicken trump spook himself before then ? 
4
Reply
@chrisbell8559
4 days ago
Americans are getting big tax increases
Reply
@Renato.Stiefenhofer.747driver
4 days ago
February 9th, Gulf of America Day !  February 9th, 1969 First Flight of the Jumbo Jet. Mister President, give the pen to your Airforce One 747 Captain. Regards and thank you, Americans, for electing Donald Trump. On behalf of the rest of the world: Capt RS, fmr Airforce One Commander (UAE) and current 747 captain from Switzerland. 
Reply
1 reply
@LazyNoop
4 days ago
does Forbes even read the titles of videos they upload? ""he'll be announce"" what does that even mean
Reply
@carold7726
4 days ago
Rah, Rah,  President Trump ️
Reply
3 replies
@000franklinbraithwaite
4 days ago
The dumbest US president in history 
4
Reply"
1,
2,
3,
4,
5,
6,
7,"Tariffs on Monday, Reverse tariffs on Tuesday."
8,He has absolutely no clue of what he is doing.
9,"He's so smart, he really knows how to create jobs. In other countries."
